Year,State,HAI,Facility1,Facility1_ID,County,Infection_Count,Num_patients
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Adventist Medical Center,630012960,Kings,2,33672
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Adventist Medical Center - Reedley,40000124,Fresno,0,7125
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Adventist Medical Center - Selma,40000122,Fresno,0,7286
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),AHMC Anaheim Regional Medical Center,60000002,Orange,0,49819
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alameda Hospital,140000011,Alameda,0,14217
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alhambra Hospital Medical Center,930000005,Los Angeles,1,16823
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alta Bates Summit Medical Center,140000425,Alameda,2,61891
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alta Bates Summit Medical Center - Alta Bates Campus,140000012,Alameda,2,67045
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Alvarado Hospital Medical Center,90000013,San Diego,8,26768
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Anaheim Global Medical Center,60000074,Orange,0,37103
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Antelope Valley Hospital,930000008,Los Angeles,3,90048
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Arrowhead Regional Medical Center,240000100,San Bernardino,11,102417
2015,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infection (MRSA BSI),Bakersfield Heart Hospital,120001330,Kern,0,13827
