Year,State,HAI,Facility1,Facility1_ID,County,Infection_Count,Num_patients
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sutter Santa Rosa Regional Hospital,110000007.0,Sonoma,1.0,23927.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Frank R. Howard Memorial Hospital,110000008.0,Mendocino,0.0,6069.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Healdsburg District Hospital,110000009.0,Sonoma,0.0,3595.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Northbay Medical Center,110000010.0,Solano,1.0,37413.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital and Rehab Center, Vallejo",110000011.0,Solano,1.0,41133.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital and Rehab Center, Vallejo, Rehabilitation Unit",110000011.0,Solano,0.0,16178.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sutter Lakeside Hospital,110000019.0,Lake,0.0,6647.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Mad River Community Hospital,110000021.0,Humboldt,0.0,9544.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Mendocino Coast District Hospital,110000023.0,Mendocino,2.0,4558.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sonoma West Medical Center,110000038.0,Sonoma,0.0,3605.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Petaluma Valley Hospital,110000040.0,Sonoma,1.0,12029.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Queen of the Valley Medical Center,110000041.0,Napa,3.0,29792.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Queen of the Valley Medical Center, Rehabilitation Unit",110000041.0,Napa,0.0,2833.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),St. Helena Hospital - Clearlake,110000044.0,Lake,0.0,5496.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Redwood Memorial Hospital,110000045.0,Humboldt,0.0,6275.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sutter Coast Hospital,110000049.0,Del Norte,0.0,7375.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Sutter Coast Hospital, Rehabilitation Unit",110000049.0,Del Norte,0.0,1284.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sonoma Valley Hospital,110000056.0,Sonoma,0.0,4759.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Jerold Phelps Community Hospital,110000057.0,Humboldt,0.0,1332.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),St. Helena Hospital,110000058.0,Napa,0.0,18731.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"St. Joseph Hospital, Eureka",110000067.0,Humboldt,3.0,31290.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sutter Solano Medical Center,110000068.0,Solano,1.0,20261.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),The General Hospital,110000069.0,Humboldt,0.0,2329.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Ukiah Valley Medical Center,110000070.0,Mendocino,1.0,13922.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Northbay Vacavalley Hospital,110000378.0,Solano,0.0,14258.0
2016,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital, Santa Rosa",110000508.0,Sonoma,0.0,38553.0
