Year,State,HAI,Facility1,Facility1_ID,County,Infection_Count,Num_patients
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Alameda Hospital,140000011.0,Alameda,1.0,11855.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Alta Bates Summit Medical Center,140000425.0,Alameda,2.0,55163.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Alta Bates Summit Medical Center, Alta Bates Campus",140000012.0,Alameda,1.0,71698.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Eden Medical Center,140000183.0,Alameda,2.0,41348.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Highland Hospital,140000034.0,Alameda,5.0,58417.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital, Fremont",140001086.0,Alameda,0.0,18442.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital, Oakland/Richmond",140000188.0,Alameda,2.0,84250.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital, San Leandro",630015029.0,Alameda,1.0,54964.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),San Leandro Hospital,630013913.0,Alameda,0.0,11584.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),St Rose Hospital,140000041.0,Alameda,2.0,22674.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Stanford Health Care - ValleyCare,140000797.0,Alameda,2.0,29180.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),UCSF Benioff Children's Hospital Oakland,140000014.0,Alameda,0.0,46028.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Washington Hospital,140000118.0,Alameda,1.0,57042.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kindred Hospital, San Francisco Bay Area",140000148.0,Alameda,3.0,27806.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Alta Bates Summit Medical Center, Rehabilitation Unit",140000425.0,Alameda,0.0,17667.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Fairmont Hospital,140000184.0,Alameda,0.0,7543.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Sutter Amador Hospital,30000108.0,Amador,0.0,10500.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Adventist Health Feather River,230000005.0,Butte,0.0,15445.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Enloe Medical Center, Esplanade",230000013.0,Butte,1.0,81152.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Oroville Hospital,230000014.0,Butte,0.0,46470.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Orchard Hospital,230000001.0,Butte,0.0,840.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Enloe Rehabilitation Center,230000405.0,Butte,0.0,6778.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Mark Twain Medical Center,30000120.0,Calaveras,0.0,3099.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),Contra Costa Regional Medical Center,140000195.0,Contra Costa,2.0,41547.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"John Muir Medical Center, Concord Campus",140000196.0,Contra Costa,3.0,54179.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"John Muir Medical Center, Walnut Creek Campus",140000187.0,Contra Costa,2.0,94900.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital, Antioch",630011203.0,Contra Costa,0.0,31354.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital, Richmond Campus",140000191.0,Contra Costa,0.0,14160.0
2018,California,Methicillin-Resistant Staphylococcus aureus Bloodstream Infections (MRSA BSI),"Kaiser Foundation Hospital, Walnut Creek",140000190.0,Contra Costa,1.0,60242.0
