Year,County,Infection_Count,Total_Population
2013,Alameda,18.0,3160494
2013,Amador,0.0,73250
2013,Butte,5.0,443328
2013,Calaveras,0.0,89320
2013,Colusa,0.0,42530
2013,Contra Costa,14.0,2187516
2013,Del Norte,0.0,55634
2013,El Dorado,0.0,362994
2013,Fresno,31.0,1904058
2013,Glenn,0.0,55652
2013,Humboldt,3.0,268814
2013,Imperial,1.0,353210
2013,Inyo,0.0,36720
2013,Kern,13.0,1725114
2013,Kings,1.0,300832
2013,Lake,0.0,127618
2013,Lassen,0.0,64252
2013,Los Angeles,227.0,19996210
2013,Madera,3.0,302940
2013,Marin,0.0,516906
2013,Mariposa,0.0,35616
2013,Mendocino,0.0,174154
2013,Merced,3.0,524396
2013,Modoc,0.0,18298
2013,Mono,0.0,28148
2013,Monterey,0.0,854108
2013,Napa,2.0,279412
2013,Nevada,1.0,195904
2013,Orange,43.0,6216018
2013,Placer,4.0,730890
2013,Plumas,0.0,37790
2013,Riverside,36.0,4576086
2013,Sacramento,39.0,2915500
2013,San Benito,0.0,114534
2013,San Bernardino,53.0,4167742
2013,San Diego,54.0,6422496
2013,San Francisco,27.0,1679682
2013,San Joaquin,8.0,1404774
2013,San Luis Obispo,3.0,551502
2013,San Mateo,1.0,1498026
2013,Santa Barbara,2.0,869646
2013,Santa Clara,36.0,3734604
2013,Santa Cruz,2.0,537880
2013,Shasta,8.0,356802
2013,Siskiyou,0.0,87064
2013,Solano,5.0,847498
2013,Sonoma,9.0,988486
2013,Stanislaus,13.0,1047444
2013,Sutter,0.0,189090
2013,Tehama,0.0,125796
2013,Trinity,0.0,26854
2013,Tulare,7.0,905538
2013,Tuolumne,0.0,108000
2013,Ventura,13.0,1677202
2013,Yolo,1.0,412736
2014,Alameda,21.0,3217348
2014,Amador,0.0,73476
2014,Butte,2.0,447140
2014,Calaveras,0.0,89346
2014,Colusa,0.0,42396
2014,Contra Costa,12.0,2218716
2014,Del Norte,0.0,54396
2014,El Dorado,1.0,366322
2014,Fresno,33.0,1922622
2014,Glenn,0.0,55714
2014,Humboldt,1.0,269028
2014,Imperial,0.0,356466
2014,Inyo,0.0,36640
2014,Kern,19.0,1739914
2014,Kings,0.0,299206
2014,Lake,0.0,128116
2014,Lassen,0.0,63420
2014,Los Angeles,213.0,20096816
2014,Madera,0.0,307180
2014,Marin,4.0,520870
2014,Mariposa,0.0,35426
2014,Mendocino,0.0,174514
2014,Merced,1.0,529298
2014,Modoc,0.0,18160
2014,Mono,0.0,28284
2014,Monterey,2.0,857960
2014,Napa,2.0,281134
2014,Nevada,0.0,197178
2014,Orange,39.0,6260644
2014,Placer,4.0,738652
2014,Plumas,0.0,37324
2014,Riverside,48.0,4635910
2014,Sacramento,47.0,2951236
2014,San Benito,0.0,115734
2014,San Bernardino,62.0,4201552
2014,San Diego,50.0,6501986
2014,San Francisco,30.0,1702232
2014,San Joaquin,9.0,1423542
2014,San Luis Obispo,2.0,556592
2014,San Mateo,2.0,1515340
2014,Santa Barbara,2.0,878716
2014,Santa Clara,39.0,3785968
2014,Santa Cruz,1.0,542070
2014,Shasta,7.0,357810
2014,Siskiyou,0.0,86758
2014,Solano,0.0,858310
2014,Sonoma,9.0,997606
2014,Stanislaus,11.0,1056692
2014,Sutter,3.0,189660
2014,Tehama,0.0,125576
2014,Trinity,0.0,26246
2014,Tulare,18.0,911204
2014,Tuolumne,0.0,107656
2014,Ventura,11.0,1685892
2014,Yolo,0.0,417036
2015,Alameda,19.0,3269268
2015,Amador,1.0,74074
2015,Butte,5.0,449624
2015,Calaveras,0.0,89914
2015,Colusa,0.0,42538
2015,Contra Costa,8.0,2249212
2015,Del Norte,1.0,54492
2015,El Dorado,2.0,369320
2015,Fresno,28.0,1940884
2015,Glenn,0.0,55552
2015,Humboldt,5.0,270228
2015,Imperial,1.0,358358
2015,Inyo,0.0,36348
2015,Kern,10.0,1754394
2015,Kings,2.0,300398
2015,Lake,0.0,128508
2015,Lassen,0.0,62766
2015,Los Angeles,282.0,20194074
2015,Madera,4.0,307478
2015,Marin,1.0,522032
2015,Mariposa,0.0,35244
2015,Mendocino,0.0,174336
2015,Merced,1.0,533302
2015,Modoc,0.0,18096
2015,Mono,0.0,28086
2015,Monterey,5.0,862482
2015,Napa,0.0,282192
